'device_type','device_id','aircraft_model','registration','cn','tracked','identified','device_idtype'
'F','00DEFF','ASK-21','D-7070','','Y','Y','INTERNAL'
'F','00F282','Pegase','F-CGED','ED','Y','Y','INTERNAL'
'F','00F8D7','ASW-15','OM-1615','TZ','Y','Y','ICAO'
'O','011292','Paraglider','R-117','','Y','Y','INTERNAL'
'O','011821','VT-116 Orlik II','OK6430','T','Y','Y','INTERNAL'
'O','011822','LS-8 18','CUBE3-0','IB0','Y','Y','INTERNAL'
'O','013020','VSO-10','GGP3','GG3','Y','Y','INTERNAL'
'O','013032','ASW-19','GGP4','GG4','Y','Y','INTERNAL'
'O','014312','Skylane Airlony','OKUUO15','','Y','Y','INTERNAL'
'O','014D71','Drone/UAV','METEO1','','Y','Y','INTERNAL'
'O','01542C','Baloon','D-OVDS','DS','Y','Y','INTERNAL'
'O','016027','PA-28','HA-BEC','HEC','Y','Y','INTERNAL'
'O','01663C','Different Aircraft','FFVP003','F03','Y','Y','INTERNAL'
'O','017B28','Cessna 172','HA-DOM','DOM','Y','Y','INTERNAL'
'O','018A40','Gyrocopter','OMM-072','SZL','Y','Y','INTERNAL'
'F','01CAFE','Cirrus Std','G-CJDS','75','Y','Y','ICAO'
'F','0201E8','Phoebus','D-8147','','Y','Y','ICAO'
'O','020827','VSO-10','GGP5','GG5','Y','Y','INTERNAL'
'O','021338','LS-1 f','C3ZEL','IBI','Y','Y','INTERNAL'
'O','022710','VT-116 Orlik II','OK-6922','22','Y','Y','INTERNAL'
'O','023324','Drone/UAV','MET','RRR','Y','Y','INTERNAL'
'O','023753','A380','PK14','','Y','Y','INTERNAL'
'O','024234','Twin Astir II','OK-3780','TW','Y','Y','INTERNAL'
'O','024932','UFO','CC-TR23','T23','Y','Y','INTERNAL'
'O','024B60','OldTimer','OM-OLD3','OB3','Y','Y','INTERNAL'
'O','024F0A','Unknown','KEKEG','124','Y','Y','INTERNAL'
'F','025226','Paraglider','51271','','Y','Y','INTERNAL'
'F','02810A','Paraglider','P21549','','Y','Y','INTERNAL'
'O','02AD34','VSO-10','OM-8517','72','Y','Y','INTERNAL'
'O','030581','Paraglider','R-143','','Y','Y','INTERNAL'
'O','031C72','Paraglider','R-144','','Y','Y','INTERNAL'
'O','032536','ASW-19','GGP2','GG2','Y','Y','INTERNAL'
'O','033042','Drone/UAV','METEO5','','Y','Y','INTERNAL'
'O','033631','HangGlider','65-17','','Y','Y','INTERNAL'
'O','033915','LAK-17 AT','D-KGPC','PC','Y','Y','INTERNAL'
'O','03440C','Blanik','OK-2710','SG1','Y','Y','INTERNAL'
'O','034819','DR-400','D-EBSK','ROB','Y','Y','INTERNAL'
'O','034B28','Unknown','NIC','NIC','Y','Y','INTERNAL'
'F','034E08','Ventus','N284BM','BM','Y','Y','INTERNAL'
'O','034EE0','PW-5','N101GM','','Y','Y','INTERNAL'
'O','034F00','PIK-20 D','C-GINY','GY','Y','Y','INTERNAL'
'O','034F9C','PW-5','N101GM','','Y','Y','INTERNAL'
'F','034FB0','Ventus 2cxT','G-CKFP','124','Y','Y','INTERNAL'
'O','035E35','UFO','CC-TR4','TR4','Y','Y','INTERNAL'
'O','036A01','Cessna 172','CC-KWG','WG','Y','Y','INTERNAL'
'O','03885C','OldTimer','OK-5977','425','Y','Y','INTERNAL'
'O','03A938','Z-226 trener','OM-MHG','G','Y','Y','INTERNAL'
'O','03AF2A','Experimental','R-161','201','Y','Y','INTERNAL'
'F','03C119','IS-28B2','HA-5021','VA2','Y','Y','INTERNAL'
'O','03D707','Twin Astir I','OM-5960','TW','Y','Y','INTERNAL'
'O','03DB0E','HangGlider','20-53','XXX','Y','Y','INTERNAL'
'F','03E773','Ventus cM','D-KKIL','GW','Y','Y','ICAO'
'O','04000A','Paraglider','R-166','','Y','Y','INTERNAL'
'O','04008F','Paraglider','R-167','','Y','Y','INTERNAL'
'O','04009B','Paraglider','R-168','','Y','Y','INTERNAL'
'O','040311','Paraglider','FDGS','','Y','Y','INTERNAL'
'O','040404','Paraglider','tomasz','713','Y','Y','INTERNAL'
'O','041203','Paraglider','041203','','Y','Y','INTERNAL'
'O','041337','Ground Station','GNDSt','','Y','Y','INTERNAL'
'F','041464','Unknown','TTB','TTB','Y','Y','INTERNAL'
'O','041A1D','Ground Station','041A1D','G-','Y','Y','INTERNAL'
'O','041A1E','Parrot Bebop','041A1D','G-','Y','Y','INTERNAL'
'O','042703','Paraglider','R-176','','Y','Y','INTERNAL'
'O','042773','ASK-13','OK-2302','ASK','Y','Y','INTERNAL'
'O','042BE2','Paraglider','11234','112','Y','Y','INTERNAL'
'N','045AF7','Paraglider','HoPe','bfd','Y','Y','INTERNAL'
'O','046127','Cessna 172','D-EEVQ','EVQ','Y','Y','INTERNAL'
'O','046213','Paraglider','Peak4','69','Y','Y','INTERNAL'
'O','046215','A60 Fauconnet','R-182','','Y','Y','INTERNAL'
'O','046217','Paraglider','Peak4','NK','Y','Y','INTERNAL'
'O','046758','Paraglider','Grich67','1','Y','Y','INTERNAL'
'O','0477A1','Paraglider','0477A1','','Y','Y','INTERNAL'
'O','048A30','HangGlider','1-238','','Y','Y','INTERNAL'
'O','049E34','Gyrocopter','HA-GYH','HYH','Y','Y','INTERNAL'
'F','04AAAC','A380','R-188','','Y','Y','INTERNAL'
'F','04AAAD','A380','R-189','','Y','Y','INTERNAL'
'F','04AD53','PIK-20 D','SE-UIS','51','Y','Y','ICAO'
'O','04B729','Drone/UAV','METEO7','','Y','Y','INTERNAL'
'O','04C001','HangGlider','04C001','C01','Y','Y','INTERNAL'
'O','04C856','Cirrus Std','OK-4301','CV','Y','Y','INTERNAL'
'O','04CAFE','Paraglider','tomasz','313','Y','Y','INTERNAL'
'O','04CD05','Ground Station','viewAir','.eu','Y','Y','INTERNAL'
'O','04CE39','Ground Station','viewAir','.eu','Y','Y','INTERNAL'
'O','04DA05','Paraglider','R-197','','Y','Y','INTERNAL'
'O','04DEAD','Paraglider','tomasz','13','Y','Y','INTERNAL'
'F','050891','LS-8 18','HB-3352','EY','Y','Y','INTERNAL'
'O','051F77','Drone/UAV','PK-X010','P10','Y','Y','INTERNAL'
'O','052889','Drone/UAV','PK-X009','P09','Y','Y','INTERNAL'
'F','053685','HangGlider','053685','MK','Y','Y','ICAO'
'O','053816','DV20 Katana','HADAS','DAS','Y','Y','INTERNAL'
'F','053E7A','HK36 Super Dimona','D-KLSR','','Y','Y','INTERNAL'
'O','054916','Cirrus 18m','OK-8774','2W','Y','Y','INTERNAL'
'O','055A16','EuroFox','OM-FANX','F4N','Y','Y','INTERNAL'
'O','05AF09','Ground Station','TEST-7','TST','Y','Y','INTERNAL'
'O','05DAFF','PIK-20 D','SP-3866','AK','Y','Y','INTERNAL'
'O','05DB23','Blanik','OK-6706','06','Y','Y','INTERNAL'
'O','060577','Paraglider','ToddyS','','Y','Y','INTERNAL'
'O','062024','EuroFox','foxCube','FOX','Y','Y','INTERNAL'
'O','062323','VT-116 Orlik II','OK6907','UO','Y','Y','INTERNAL'
'O','062909','VSO-10','GGP6','GG6','Y','Y','INTERNAL'
'O','063770','Cirrus Std','D-0705','','Y','Y','INTERNAL'
'O','064D0E','SF-25','HA-1270','','Y','Y','INTERNAL'
'O','065247','Unknown','KILY-1','Vin','Y','Y','INTERNAL'
'O','066015','Z-226 trener','OK-MPB','226','Y','Y','INTERNAL'
'O','066F73','TL-2000 Sting','OKSUA36','STI','Y','Y','INTERNAL'
'F','06912D','WT9 Dynamic','D-MWON','','Y','Y','INTERNAL'
'O','06B328','Maule M-7','R-220','FMT','Y','Y','INTERNAL'
'O','06CD5D','Ground Station','viewAir','.eu','Y','Y','INTERNAL'
'F','06DDA6','DG-505','D-7282','VG','Y','Y','INTERNAL'
'F','06DDDF','DG-808 B','HB-2322','JW','Y','Y','INTERNAL'
'F','06DDE2','ASW-24','D-6246','TD','Y','Y','INTERNAL'
'F','071308','Paraglider','R-225','','Y','Y','ICAO'
'O','071B14','Paraglider','19173','','Y','Y','INTERNAL'
'O','071CA9','Paraglider','Jono','','Y','Y','INTERNAL'
'O','071CE7','Paraglider','HOPPY','','Y','Y','INTERNAL'
'F','071D23','Paraglider','R-229','','Y','Y','ICAO'
'O','072000','Cessna 182','CC-KWJ','WJ','Y','Y','INTERNAL'
'O','072537','WT9 Dynamic','OKKUU61','U61','Y','Y','INTERNAL'
'O','072921','Blanik','OK-0202','L23','Y','Y','INTERNAL'
'O','073738','A380','PK22','','Y','Y','INTERNAL'
'O','073B55','SZD-9 Bocian','LY-GQZ','QZ','Y','Y','INTERNAL'
'O','07411F','Ultralight','LY-XMF','','Y','Y','INTERNAL'
'O','074374','Paraglider','Bu','','Y','Y','INTERNAL'
'O','074812','LS-1 f','CUBE3','IBI','Y','Y','INTERNAL'
'O','0749AF','Paraglider','Lexrobe','312','Y','Y','INTERNAL'
'O','074AD4','Paraglider','OE-66P1','214','Y','Y','INTERNAL'
'O','074F25','Paraglider','KZO','','Y','Y','INTERNAL'
'O','074F3D','VSO-10','OK-2500','F8','Y','Y','INTERNAL'
'F','075090','Paraglider','FDA1','','Y','Y','INTERNAL'
'F','075A6F','Paraglider','R-243','','Y','Y','INTERNAL'
'O','075A80','Paraglider','PG','JPP','Y','Y','INTERNAL'
'O','07617D','Cessna 152','HA-SKV','HKV','Y','Y','INTERNAL'
'F','0767B8','Paraglider','Thermik','','Y','Y','INTERNAL'
'O','076F63','Different Aircraft','C-MSC1','MS1','Y','Y','INTERNAL'
'O','078879','Paraglider','R-248','','Y','Y','INTERNAL'
'F','078A3C','Paraglider','R-249','','Y','Y','INTERNAL'
'T','078A88','HangGlider','CONRADO','C02','Y','Y','INTERNAL'
'T','078AC4','HangGlider','CAMILOP','CP1','Y','Y','INTERNAL'
'N','07A7AC','Paraglider','Evgeny','385','Y','Y','INTERNAL'
'O','07B51C','Unknown','R-253','','Y','Y','INTERNAL'
'T','07D4B8','HangGlider','DANIEL','DVB','Y','Y','INTERNAL'
'O','07D952','Unknown','R-255','Tt1','Y','Y','INTERNAL'
'F','0800B0','Sinus','0800B0','VC','Y','Y','ICAO'
'O','081599','Paraglider','Para','999','Y','Y','INTERNAL'
'O','083729','A380','PK27','','Y','Y','INTERNAL'
'O','084431','ASW-15','OK-5331','HH','Y','Y','INTERNAL'
'F','089891','Ventus 2cM','D-KJOY','','Y','Y','ICAO'
'O','08C14C','Drone/UAV','GXDR1','GXD','Y','Y','INTERNAL'
'O','08C5BB','Nimbus 2','OK-2783','PM','Y','Y','INTERNAL'
'O','090929','VSO-10','OK-1514','E8','Y','Y','INTERNAL'
'O','092624','A380','PK21','','Y','Y','INTERNAL'
'O','093815','Blanik','OK9851','','Y','Y','INTERNAL'
'O','094054','Janus C','GGP7','GG7','Y','Y','INTERNAL'
'O','0A0047','Paraglider','8525','UWE','Y','Y','INTERNAL'
'O','0A1415','Paraglider','000','000','Y','Y','INTERNAL'
'O','0A3210','L 13 SEH Vivat','OM-6107','07','Y','Y','INTERNAL'
'O','0A62B1','Paraglider','4967','','Y','Y','INTERNAL'
'F','0A6830','Paraglider','37641','','Y','Y','INTERNAL'
'O','0A6855','Paraglider','Ms-440','','Y','Y','INTERNAL'
'O','0A6923','Paraglider','OSteffG','','Y','Y','INTERNAL'
'O','0A6B23','Paraglider','Bladti','','Y','Y','INTERNAL'
'O','0AC6A1','Paraglider','BkaRES','','Y','Y','INTERNAL'
'O','0B359F','Cessna 182','HAIJA','AJA','Y','Y','INTERNAL'
'O','0CC4B8','Paraglider','SZ-982','982','Y','Y','INTERNAL'
'F','0CEF34','Paraglider','Jack','JAM','Y','Y','INTERNAL'
'F','0CFFFF','Cessna 208','F-HANM','','Y','Y','INTERNAL'
'F','0D0037','Kestrel','D-0037','SM','Y','Y','ICAO'
'F','0D0256','SZD-50 Puchacz','D-6619','','Y','Y','ICAO'
'F','0D0466','ASK-13','D-0466','','Y','Y','ICAO'
'F','0D2950','LS-6 18WJ','D-2950','1R','Y','Y','ICAO'
'F','0D3528','LS-4','D-3528','3V','Y','Y','ICAO'
'F','0D3608','Unknown','R-285','','Y','N','ICAO'
'F','0D3856','Grunau Baby','D-3856','','Y','Y','ICAO'
'F','0D4253','A380','RESERV','','Y','Y','INTERNAL'
'F','0D5496','Discus 2','D-5496','','Y','Y','ICAO'
'O','0D5718','Paraglider','FW413','KCS','Y','Y','INTERNAL'
'F','0D5729','DG-300','D-5729','FX','Y','Y','ICAO'
'F','0D6510','DG-1000','D-6510','','Y','Y','ICAO'
'F','0D6511','LS-4','D-6511','2M','Y','Y','ICAO'
'F','0D6559','LS-1 f','0D6559','2P','Y','Y','ICAO'
'F','0D7039','Ka-2','D-7039','','Y','Y','ICAO'
'F','0D7503','L-Spatz 55','D-7503','','Y','Y','ICAO'
'F','0D7619','Duo Discus','D-4824','DR','Y','Y','INTERNAL'
'F','0D8087','Twin Astir II','D-8087','87','Y','Y','ICAO'
'F','0D9442','Kestrel','D-9442','k2M','Y','Y','ICAO'
'F','0DD836','ASK-21','R-299','22','Y','Y','ICAO'
'F','0DDE4B','LS-3','G-DECP','ECP','Y','Y','ICAO'
'F','0DEC3C','ASK-21','D-1221','21','Y','Y','ICAO'
'O','0E23B0','Ultralight','Kolb','123','Y','Y','INTERNAL'
'O','0F8A31','Ultralight','OKRUL96','L96','Y','Y','INTERNAL'
'O','0FD542','Paraglider','SZ-823','823','Y','Y','INTERNAL'
'F','100661','Paraglider','R-305','','Y','Y','INTERNAL'
'F','100E08','Paraglider','R-306','','Y','Y','INTERNAL'
'F','10154A','Motorplane','HB-TCP','','Y','Y','INTERNAL'
'F','102030','LS-8a','PH-1047','SR','Y','Y','ICAO'
'F','104280','LS-1 f','D2254','HR','Y','Y','INTERNAL'
'O','105632','VSO-10','GGP8','GG8','Y','Y','INTERNAL'
'O','10CD15','Ultralight','I-4568','00','Y','Y','INTERNAL'
'F','10EB2E','JS-1 C18 Evo','ZSGBB','ZB','Y','Y','ICAO'
'F','110005','Paraglider','R-313','','Y','Y','INTERNAL'
'F','110007','Paraglider','BDW','','Y','Y','INTERNAL'
'F','110008','Paraglider','R-315','','Y','N','INTERNAL'
'F','11000B','Paraglider','airbjor','bjg','Y','Y','INTERNAL'
'F','11000C','Paraglider','Peak4','Nk','Y','Y','INTERNAL'
'F','110010','Paraglider','35314','pip','Y','Y','INTERNAL'
'F','11001A','Paraglider','D-MWCK','','Y','Y','INTERNAL'
'F','11001E','Paraglider','SUn3','','Y','Y','INTERNAL'
'F','11001F','Paraglider','Paul','PN','Y','Y','INTERNAL'
'N','110024','Paraglider','SUn2','','Y','Y','INTERNAL'
'O','110026','Paraglider','CH22856','','Y','Y','INTERNAL'
'N','110049','Paraglider','51647','','Y','N','INTERNAL'
'F','110058','Paraglider','RICH-C','RJC','Y','Y','INTERNAL'
'F','110059','Paraglider','CH13949','NoS','Y','Y','INTERNAL'
'F','11005B','Paraglider','FDA2','','Y','Y','INTERNAL'
'N','110061','A380','FloB','','Y','Y','INTERNAL'
'F','110063','Paraglider','R-329','','Y','Y','INTERNAL'
'F','110065','Paraglider','CH46795','BeK','Y','Y','INTERNAL'
'N','110066','Paraglider','CH13903','DaB','Y','Y','INTERNAL'
'O','11006A','Paraglider','ch52856','FrS','Y','Y','INTERNAL'
'N','110070','Paraglider','CH9164','ToW','Y','Y','INTERNAL'
'F','110071','Paraglider','5385SS','','Y','Y','INTERNAL'
'N','110078','Paraglider','CH42893','ChM','Y','Y','INTERNAL'
'O','110084','Paraglider','Bene','Ben','Y','Y','INTERNAL'
'F','11008C','Paraglider','Karin','Kar','Y','Y','INTERNAL'
'F','11008D','Paraglider','11008D','','Y','Y','INTERNAL'
'F','110096','Paraglider','DaniloB','DaB','Y','Y','INTERNAL'
'F','110099','Paraglider','Wolf','WAK','Y','Y','INTERNAL'
'F','11009D','Paraglider','Bru','Bru','Y','Y','INTERNAL'
'N','11009E','Paraglider','34','','Y','Y','INTERNAL'
'O','1100AA','Paraglider','CH32358','DoS','Y','Y','INTERNAL'
'F','1100B2','Paraglider','7493','','Y','Y','INTERNAL'
'N','1100C0','Paraglider','R.Zorn','RZo','Y','Y','INTERNAL'
'N','1100C2','Paraglider','YetiSam','Sam','Y','Y','INTERNAL'
'N','1100C5','Paraglider','RaMu','','Y','Y','INTERNAL'
'F','1100CF','Paraglider','SimonS','SiS','Y','Y','INTERNAL'
'N','1100E4','Paraglider','49984','ChF','Y','Y','INTERNAL'
'F','1100E8','Paraglider','brunand','','Y','Y','INTERNAL'
'F','1100EC','Paraglider','AV','AV','Y','Y','INTERNAL'
'F','1100EF','Paraglider','R-352','hjb','Y','Y','INTERNAL'
'F','1100F8','Paraglider','FranzDo','FDo','Y','Y','INTERNAL'
'N','1100F9','Paraglider','ORLO','ORL','Y','Y','INTERNAL'
'F','1100FB','Paraglider','DKeidel','DKE','Y','Y','INTERNAL'
'F','1100FC','Paraglider','D-NNAV','','Y','Y','INTERNAL'
'F','1100FF','Paraglider','XXXXXX','ThH','Y','Y','INTERNAL'
'O','110106','Paraglider','CH32358','fNk','Y','Y','INTERNAL'
'N','110108','Paraglider','BerndS','Sch','Y','Y','INTERNAL'
'F','110117','Paraglider','R-360','270','Y','Y','INTERNAL'
'F','11011E','Paraglider','FLYOVER','20P','Y','Y','INTERNAL'
'N','11012E','Paraglider','53841','SAS','Y','Y','INTERNAL'
'O','110136','Paraglider','CH45095','SyB','Y','Y','INTERNAL'
'F','110137','Arcus M','35917','','Y','Y','INTERNAL'
'N','110141','Paraglider','49028','EB','Y','Y','INTERNAL'
'N','110148','Paraglider','Arnold','','Y','Y','INTERNAL'
'F','110151','Paraglider','IOTA2','','Y','Y','INTERNAL'
'F','11015A','Paraglider','26046','','Y','Y','INTERNAL'
'F','11015C','Paraglider','52882','PAT','Y','Y','INTERNAL'
'F','110165','Paraglider','Stolli','','Y','Y','INTERNAL'
'N','110168','Paraglider','Boris','BW','Y','Y','INTERNAL'
'F','110169','Paraglider','110169','','Y','Y','INTERNAL'
'F','11016D','Mustang (UL)','D-MSIF','','Y','Y','INTERNAL'
'F','11017C','Paraglider','dimi89','dk','Y','Y','INTERNAL'
'F','11017D','Paraglider','RLiners','','Y','Y','INTERNAL'
'F','110182','Paraglider','1101MD','','Y','Y','INTERNAL'
'F','110186','Paraglider','23197','','Y','Y','INTERNAL'
'F','11018A','Paraglider','39426','N_S','Y','Y','INTERNAL'
'F','110196','Paraglider','R-379','M.S','Y','Y','INTERNAL'
'F','11019C','Paraglider','WM','','Y','Y','INTERNAL'
'F','1101A5','Paraglider','OE-6801','','Y','Y','INTERNAL'
'F','1101A8','Paraglider','andy-r','','Y','Y','INTERNAL'
'F','1101A9','HangGlider','R-383','','Y','Y','INTERNAL'
'F','1101AB','Paraglider','53097','','Y','Y','INTERNAL'
'F','1101B7','Paraglider','R-385','','Y','Y','INTERNAL'
'F','1101BD','Paraglider','R-386','','Y','Y','INTERNAL'
'F','1101C0','Paraglider','OZONE','D3','Y','Y','INTERNAL'
'F','1101C1','Paraglider','R-388','','Y','Y','INTERNAL'
'O','1101C3','Paraglider','PST','PST','Y','Y','INTERNAL'
'N','1101C8','Paraglider','JuMu','','Y','Y','INTERNAL'
'N','1101CB','Paraglider','KIPFI','','Y','Y','INTERNAL'
'F','1101CE','Paraglider','R-392','','Y','Y','INTERNAL'
'F','1101D4','Paraglider','LAD','','Y','Y','INTERNAL'
'N','1101D6','Paraglider','52770','','Y','Y','INTERNAL'
'N','1101DE','Paraglider','5D','','Y','N','INTERNAL'
'N','1101E0','Paraglider','KoNy','KM','Y','Y','INTERNAL'
'F','1101E3','Paraglider','segra','101','Y','Y','INTERNAL'
'N','1101E6','Paraglider','49483','','Y','Y','INTERNAL'
'N','1101EB','Paraglider','43061','Tom','Y','Y','INTERNAL'
'F','110202','Paraglider','MaU','MaU','Y','Y','INTERNAL'
'N','110203','Paraglider','IOTA-2','JB','Y','Y','INTERNAL'
